"","year","month","day","Num","Customer","cust_name","Item","Code","ItemCodeSub","Quantity","UnitPrice","Tax","Amount","Des","ReceiptNo","Product","Amount1","Cost","Profit","Goods"
"18",2018,3,11,71048,"Baker's Professional Lighting:Store #20","Ba4","Specialty Bulbs, 100 watt (6 pack)","AB74","BakerSpec155",2,5.5,1,11,"71048Baker's Professional Lighting:Store #20Specialty Bulbs, 100 watt (6 pack)",1128,"Specialty Bulbs, 100 watt (6 pack)",-11,4.75,6.25,"Specialty Bulbs, 100 watt (6 pack)"
"19",2018,3,12,71049,"Lavery Lighting & Design:Store #JL-06","La25","Athena Collection, Pendant, Textured White, Med. Base, 100 watt max.","AB18","LaverAthe160",22,0.5,70.9090909090909,780,"71049Lavery Lighting & Design:Store #JL-06Athena Collection, Pendant, Textured White, Med. Base, 100 watt max.",1129,"Athena Collection, Pendant, Textured White, Med. Base, 100 watt max.",-780,360,420,"Athena Collection, Pendant, Textured White, Med. Base, 100 watt max."
"20",2018,3,12,71049,"Lavery Lighting & Design:Store #JL-06","La25","Brushed Nickel, (3-60 watt, Med) Ribbed Glass","AB34","LaverBrus158",100,0.11,36.3636363636364,400,"71049Lavery Lighting & Design:Store #JL-06Brushed Nickel, (3-60 watt, Med) Ribbed Glass",1130,"Brushed Nickel, (3-60 watt, Med) Ribbed Glass",-400,120,280,"Brushed Nickel, (3-60 watt, Med) Ribbed Glass"
"21",2018,3,12,71049,"Lavery Lighting & Design:Store #JL-06","La25","Frosted Taupe (3/60 watt)  Marble Glass","AB55","LaverFros157",70,0.157142857142857,169.090909090909,1860,"71049Lavery Lighting & Design:Store #JL-06Frosted Taupe (3/60 watt)  Marble Glass",1131,"Frosted Taupe (3/60 watt)  Marble Glass",-1860,535.26,1324.74,"Frosted Taupe (3/60 watt)  Marble Glass"
"22",2018,3,12,71049,"Lavery Lighting & Design:Store #JL-06","La25","Pendant Bar, Textured White, 50lbs max","AB66","LaverPend161",20,0.55,9.09090909090909,100,"71049Lavery Lighting & Design:Store #JL-06Pendant Bar, Textured White, 50lbs max",1132,"Pendant Bar, Textured White, 50lbs max",-100,40,60,"Pendant Bar, Textured White, 50lbs max"
"23",2018,3,12,71049,"Lavery Lighting & Design:Store #JL-06","La25","Specialty Bulbs, 100 watt (6 pack)","AB74","LaverSpec164",4,2.75,2,22,"71049Lavery Lighting & Design:Store #JL-06Specialty Bulbs, 100 watt (6 pack)",1133,"Specialty Bulbs, 100 watt (6 pack)",-22,9.5,12.5,"Specialty Bulbs, 100 watt (6 pack)"
"24",2018,3,12,71049,"Lavery Lighting & Design:Store #JL-06","La25","Specialty, Stage & Studio Bulbs  60 watt","AB75","LaverSpec163",8,1.375,8.86363636363636,97.5,"71049Lavery Lighting & Design:Store #JL-06Specialty, Stage & Studio Bulbs  60 watt",1134,"Specialty, Stage & Studio Bulbs  60 watt",-97.5,37.5,60,"Specialty, Stage & Studio Bulbs  60 watt"
"25",2018,3,12,71049,"Lavery Lighting & Design:Store #JL-06","La25","Sunset, Clear Glass, 1-100 watt max.","AB78","LaverSuns162",27,0.407407407407407,19.0909090909091,210,"71049Lavery Lighting & Design:Store #JL-06Sunset, Clear Glass, 1-100 watt max.",1135,"Sunset, Clear Glass, 1-100 watt max.",-210,105,105,"Sunset, Clear Glass, 1-100 watt max."
"26",2018,3,12,71049,"Lavery Lighting & Design:Store #JL-06","La25","Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10","AB82","LaverTape156",10,1.1,20.4545454545455,225,"71049Lavery Lighting & Design:Store #JL-06Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10",1136,"Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10",-225,75,150,"Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10"
"27",2018,3,12,71049,"Lavery Lighting & Design:Store #JL-06","La25","Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)","AB86","LaverVian159",30,0.366666666666667,90.9090909090909,1000,"71049Lavery Lighting & Design:Store #JL-06Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)",1137,"Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)",-1000,481.43,518.57,"Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)"
"28",2018,1,14,71050,"Godwin Lighting Depot:Store #202","Go15","Brushed Nickel, Pendant, 1-100 watt Medium Base, Satin Etched Glass","AB36","GodwiBrus24",30,0.366666666666667,60,660,"71050Godwin Lighting Depot:Store #202Brushed Nickel, Pendant, 1-100 watt Medium Base, Satin Etched Glass",1138,"Brushed Nickel, Pendant, 1-100 watt Medium Base, Satin Etched Glass",-660,300,360,"Brushed Nickel, Pendant, 1-100 watt Medium Base, Satin Etched Glass"
"29",2018,1,14,71050,"Godwin Lighting Depot:Store #202","Go15","Flush Mount, Polished Brass (2, 13 watt)  White acrylic diffuser","AB54","GodwiFlus23",20,0.55,55.2727272727273,608,"71050Godwin Lighting Depot:Store #202Flush Mount, Polished Brass (2, 13 watt)  White acrylic diffuser",1139,"Flush Mount, Polished Brass (2, 13 watt)  White acrylic diffuser",-608,256,352,"Flush Mount, Polished Brass (2, 13 watt)  White acrylic diffuser"
"30",2018,1,14,71050,"Godwin Lighting Depot:Store #202","Go15","Halogen Lamp, 20 watts, Luminous Intensity","AB60","GodwiHalo29",6,1.83333333333333,3.49090909090909,38.4,"71050Godwin Lighting Depot:Store #202Halogen Lamp, 20 watts, Luminous Intensity",1140,"Halogen Lamp, 20 watts, Luminous Intensity",-38.4,19.2,19.2,"Halogen Lamp, 20 watts, Luminous Intensity"
"31",2018,1,14,71050,"Godwin Lighting Depot:Store #202","Go15","Pearl Nickle, 5 Light, Medium Base (100 watt max)","AB64","GodwiPear21",85,0.129411764705882,215.909090909091,2375,"71050Godwin Lighting Depot:Store #202Pearl Nickle, 5 Light, Medium Base (100 watt max)",1141,"Pearl Nickle, 5 Light, Medium Base (100 watt max)",-2375,1000,1375,"Pearl Nickle, 5 Light, Medium Base (100 watt max)"
"32",2018,1,14,71050,"Godwin Lighting Depot:Store #202","Go15","River Rock (8/60 watt)  Faux Alabaster Glass","AB70","GodwiRive26",33,0.333333333333333,163.636363636364,1800,"71050Godwin Lighting Depot:Store #202River Rock (8/60 watt)  Faux Alabaster Glass",1142,"River Rock (8/60 watt)  Faux Alabaster Glass",-1800,450,1350,"River Rock (8/60 watt)  Faux Alabaster Glass"
"33",2018,1,14,71050,"Godwin Lighting Depot:Store #202","Go15","Roman Bronze, 1-light Lantern, w/tail, (100 watt max)","AB71","GodwiRoma22",23,0.478260869565217,77.2727272727273,850,"71050Godwin Lighting Depot:Store #202Roman Bronze, 1-light Lantern, w/tail, (100 watt max)",1143,"Roman Bronze, 1-light Lantern, w/tail, (100 watt max)",-850,380,470,"Roman Bronze, 1-light Lantern, w/tail, (100 watt max)"
"34",2018,1,14,71050,"Godwin Lighting Depot:Store #202","Go15","Specialty Bulbs, 100 watt (6 pack)","AB74","GodwiSpec28",20,0.55,10,110,"71050Godwin Lighting Depot:Store #202Specialty Bulbs, 100 watt (6 pack)",1144,"Specialty Bulbs, 100 watt (6 pack)",-110,47.5,62.5,"Specialty Bulbs, 100 watt (6 pack)"
"35",2018,1,14,71050,"Godwin Lighting Depot:Store #202","Go15","Specialty, Stage & Studio Bulbs  60 watt","AB75","GodwiSpec27",25,0.44,29.5454545454545,325,"71050Godwin Lighting Depot:Store #202Specialty, Stage & Studio Bulbs  60 watt",1145,"Specialty, Stage & Studio Bulbs  60 watt",-325,125,200,"Specialty, Stage & Studio Bulbs  60 watt"
"36",2018,1,14,71050,"Godwin Lighting Depot:Store #202","Go15","Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)","AB84","GodwiTiff25",8,1.375,92.7272727272727,1020,"71050Godwin Lighting Depot:Store #202Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)",1146,"Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)",-1020,480,540,"Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)"
"37",2018,2,10,71051,"Cole Home Builders:Phase 2 - Lot 5","Co9","18x8x10, Solid Brass, 3-60watt Medium Base, Satin Etched Glass","AB13","Cole 18x884",60,0.183333333333333,90,990,"71051Cole Home Builders:Phase 2 - Lot 518x8x10, Solid Brass, 3-60watt Medium Base, Satin Etched Glass",1147,"18x8x10, Solid Brass, 3-60watt Medium Base, Satin Etched Glass",-990,480,510,"18x8x10, Solid Brass, 3-60watt Medium Base, Satin Etched Glass"
"38",2018,2,10,71051,"Cole Home Builders:Phase 2 - Lot 5","Co9","Acid Verde, 10x21x10, 2-60 watt cand.","AB16","Cole Acid83",20,0.55,30.9090909090909,340,"71051Cole Home Builders:Phase 2 - Lot 5Acid Verde, 10x21x10, 2-60 watt cand.",1148,"Acid Verde, 10x21x10, 2-60 watt cand.",-340,150,190,"Acid Verde, 10x21x10, 2-60 watt cand."
"39",2018,2,10,71051,"Cole Home Builders:Phase 2 - Lot 5","Co9","Athena Collection, (100 watt max) Copper Verde, Seeded Glass","AB17","Cole Athe85",30,0.366666666666667,81.8181818181818,900,"71051Cole Home Builders:Phase 2 - Lot 5Athena Collection, (100 watt max) Copper Verde, Seeded Glass",1149,"Athena Collection, (100 watt max) Copper Verde, Seeded Glass",-900,321.43,578.57,"Athena Collection, (100 watt max) Copper Verde, Seeded Glass"
"40",2018,2,10,71051,"Cole Home Builders:Phase 2 - Lot 5","Co9","Cand. Light, 20 watts (8 pack)","AB38","Cole Cand81",40,0.275,10.1818181818182,112,"71051Cole Home Builders:Phase 2 - Lot 5Cand. Light, 20 watts (8 pack)",1150,"Cand. Light, 20 watts (8 pack)",-112,48,64,"Cand. Light, 20 watts (8 pack)"
"41",2018,2,10,71051,"Cole Home Builders:Phase 2 - Lot 5","Co9","Golden Umber (100 watt)  Six Light Chandelier","AB58","Cole Gold82",200,0.055,171.818181818182,1890,"71051Cole Home Builders:Phase 2 - Lot 5Golden Umber (100 watt)  Six Light Chandelier",1151,"Golden Umber (100 watt)  Six Light Chandelier",-1890,510,1380,"Golden Umber (100 watt)  Six Light Chandelier"
"42",2018,2,10,71051,"Cole Home Builders:Phase 2 - Lot 5","Co9","Specialty Bulbs, 100 watt (6 pack)","AB74","Cole Spec80",24,0.458333333333333,12,132,"71051Cole Home Builders:Phase 2 - Lot 5Specialty Bulbs, 100 watt (6 pack)",1152,"Specialty Bulbs, 100 watt (6 pack)",-132,57,75,"Specialty Bulbs, 100 watt (6 pack)"
"43",2018,2,27,71052,"Baker's Professional Lighting:Store #15","Ba3","2032 Series, (3-60 watt, Med) Desert Stone Finish","AB14","Baker2032143",30,0.366666666666667,19.0909090909091,210,"71052Baker's Professional Lighting:Store #152032 Series, (3-60 watt, Med) Desert Stone Finish",1153,"2032 Series, (3-60 watt, Med) Desert Stone Finish",-210,72,138,"2032 Series, (3-60 watt, Med) Desert Stone Finish"
"44",2018,2,27,71052,"Baker's Professional Lighting:Store #15","Ba3","Acid Verde, 10x21x10, 2-60 watt cand.","AB16","BakerAcid137",16,0.6875,24.7272727272727,272,"71052Baker's Professional Lighting:Store #15Acid Verde, 10x21x10, 2-60 watt cand.",1154,"Acid Verde, 10x21x10, 2-60 watt cand.",-272,120,152,"Acid Verde, 10x21x10, 2-60 watt cand."
"45",2018,2,27,71052,"Baker's Professional Lighting:Store #15","Ba3","Brushed Nickel, 18x7.75x6, 3-60 watt Medium Base, Satin Opal Glass","AB35","BakerBrus140",30,0.366666666666667,10.9090909090909,120,"71052Baker's Professional Lighting:Store #15Brushed Nickel, 18x7.75x6, 3-60 watt Medium Base, Satin Opal Glass",1155,"Brushed Nickel, 18x7.75x6, 3-60 watt Medium Base, Satin Opal Glass",-120,55.5,64.5,"Brushed Nickel, 18x7.75x6, 3-60 watt Medium Base, Satin Opal Glass"
"46",2018,2,27,71052,"Baker's Professional Lighting:Store #15","Ba3","Drop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF","AB47","BakerDrop145",15,0.733333333333333,11.4545454545455,126,"71052Baker's Professional Lighting:Store #15Drop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF",1156,"Drop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF",-126,60,66,"Drop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF"
"47",2018,2,27,71052,"Baker's Professional Lighting:Store #15","Ba3","Fluorescent Lamp, T-5, Bipin","AB53","BakerFluo146",2,5.5,0.818181818181818,9,"71052Baker's Professional Lighting:Store #15Fluorescent Lamp, T-5, Bipin",1157,"Fluorescent Lamp, T-5, Bipin",-9,2.7,6.3,"Fluorescent Lamp, T-5, Bipin"
"48",2018,2,27,71052,"Baker's Professional Lighting:Store #15","Ba3","Halogen Lamp, 20 watts, Luminous Intensity","AB60","BakerHalo141",2,5.5,1.09090909090909,12,"71052Baker's Professional Lighting:Store #15Halogen Lamp, 20 watts, Luminous Intensity",1158,"Halogen Lamp, 20 watts, Luminous Intensity",-12,6,6,"Halogen Lamp, 20 watts, Luminous Intensity"
"49",2018,2,27,71052,"Baker's Professional Lighting:Store #15","Ba3","Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass","AB67","BakerPoli138",7,1.57142857142857,19.0909090909091,210,"71052Baker's Professional Lighting:Store #15Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass",1159,"Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass",-210,96,114,"Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass"
"50",2018,2,27,71052,"Baker's Professional Lighting:Store #15","Ba3","River Rock (8/60 watt)  Faux Alabaster Glass","AB70","BakerRive139",11,1,54.5454545454545,600,"71052Baker's Professional Lighting:Store #15River Rock (8/60 watt)  Faux Alabaster Glass",1160,"River Rock (8/60 watt)  Faux Alabaster Glass",-600,150,450,"River Rock (8/60 watt)  Faux Alabaster Glass"
"51",2018,2,27,71052,"Baker's Professional Lighting:Store #15","Ba3","Specialty, Stage & Studio Bulbs  60 watt","AB75","BakerSpec142",2,5.5,2.36363636363636,26,"71052Baker's Professional Lighting:Store #15Specialty, Stage & Studio Bulbs  60 watt",1161,"Specialty, Stage & Studio Bulbs  60 watt",-26,10,16,"Specialty, Stage & Studio Bulbs  60 watt"
"52",2018,2,27,71052,"Baker's Professional Lighting:Store #15","Ba3","Tapestry (8/60 watt)  Faux Alabaster Glass","AB79","BakerTape144",20,0.55,27.2727272727273,300,"71052Baker's Professional Lighting:Store #15Tapestry (8/60 watt)  Faux Alabaster Glass",1162,"Tapestry (8/60 watt)  Faux Alabaster Glass",-300,75,225,"Tapestry (8/60 watt)  Faux Alabaster Glass"
"53",2018,1,28,71053,"Miscellaneous - Retail:Alison Johnson","Al27","Tapestry (8/60 watt)  Faux Alabaster Glass","AB79","MisceTape43",20,0.55,27.2727272727273,300,"71053Miscellaneous - Retail:Alison JohnsonTapestry (8/60 watt)  Faux Alabaster Glass",1163,"Tapestry (8/60 watt)  Faux Alabaster Glass",-300,75,225,"Tapestry (8/60 watt)  Faux Alabaster Glass"
"54",2018,1,28,71053,"Miscellaneous - Retail:Alison Johnson","Al27","Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10","AB82","MisceTape42",4,2.75,8.18181818181818,90,"71053Miscellaneous - Retail:Alison JohnsonTapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10",1164,"Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10",-90,30,60,"Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10"
"55",2018,1,28,71053,"Miscellaneous - Retail:Alison Johnson","Al27","Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)","AB86","MisceVian44",12,0.916666666666667,36.3636363636364,400,"71053Miscellaneous - Retail:Alison JohnsonVianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)",1165,"Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)",-400,193.79,206.21,"Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)"
"56",2018,1,28,71053,"Miscellaneous - Retail:Alison Johnson","Al27","White, 4.5x7.5, 1-100 watt Medium Base, Satin White Glass","AB88","MisceWhit45",15,0.733333333333333,5.81818181818182,64,"71053Miscellaneous - Retail:Alison JohnsonWhite, 4.5x7.5, 1-100 watt Medium Base, Satin White Glass",1166,"White, 4.5x7.5, 1-100 watt Medium Base, Satin White Glass",-64,30,34,"White, 4.5x7.5, 1-100 watt Medium Base, Satin White Glass"
"57",2018,2,20,71054,"Miscellaneous - Retail:Mrs. Chris Holly","Ch41","Athena Collection, Pendant, Textured White, Med. Base, 100 watt max.","AB18","MisceAthe129",7,1.57142857142857,23.6363636363636,260,"71054Miscellaneous - Retail:Mrs. Chris HollyAthena Collection, Pendant, Textured White, Med. Base, 100 watt max.",1167,"Athena Collection, Pendant, Textured White, Med. Base, 100 watt max.",-260,120,140,"Athena Collection, Pendant, Textured White, Med. Base, 100 watt max."
"58",2018,2,20,71054,"Miscellaneous - Retail:Mrs. Chris Holly","Ch41","Drop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF","AB47","MisceDrop131",10,1.1,7.63636363636364,84,"71054Miscellaneous - Retail:Mrs. Chris HollyDrop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF",1168,"Drop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF",-84,40,44,"Drop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF"
"59",2018,2,20,71054,"Miscellaneous - Retail:Mrs. Chris Holly","Ch41","Frosted Taupe (3/60 watt)  Marble Glass","AB55","MisceFros128",12,0.916666666666667,28.1818181818182,310,"71054Miscellaneous - Retail:Mrs. Chris HollyFrosted Taupe (3/60 watt)  Marble Glass",1169,"Frosted Taupe (3/60 watt)  Marble Glass",-310,89.88,220.12,"Frosted Taupe (3/60 watt)  Marble Glass"
"60",2018,2,20,71054,"Miscellaneous - Retail:Mrs. Chris Holly","Ch41","Pendant Bar, Cobblestone, 50lbs. max","AB65","MiscePend130",20,0.55,4.54545454545455,50,"71054Miscellaneous - Retail:Mrs. Chris HollyPendant Bar, Cobblestone, 50lbs. max",1170,"Pendant Bar, Cobblestone, 50lbs. max",-50,22.74,27.26,"Pendant Bar, Cobblestone, 50lbs. max"
"61",2018,2,20,71054,"Miscellaneous - Retail:Mrs. Chris Holly","Ch41","Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)","AB86","MisceVian126",15,0.733333333333333,45.4545454545455,500,"71054Miscellaneous - Retail:Mrs. Chris HollyVianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)",1171,"Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)",-500,242.23,257.77,"Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)"
"62",2018,2,20,71054,"Miscellaneous - Retail:Mrs. Chris Holly","Ch41","White, 4.5x7.5, 1-100 watt Medium Base, Satin White Glass","AB88","MisceWhit127",23,0.478260869565217,8.72727272727273,96,"71054Miscellaneous - Retail:Mrs. Chris HollyWhite, 4.5x7.5, 1-100 watt Medium Base, Satin White Glass",1172,"White, 4.5x7.5, 1-100 watt Medium Base, Satin White Glass",-96,45,51,"White, 4.5x7.5, 1-100 watt Medium Base, Satin White Glass"
"63",2018,1,17,71055,"Miscellaneous - Retail:Ms. Jann Minor","Ja42","Beveled Mirror, Etched Ribbed Glass (75 watt max)","AB20","MisceBeve33",10,1.1,13.0909090909091,144,"71055Miscellaneous - Retail:Ms. Jann MinorBeveled Mirror, Etched Ribbed Glass (75 watt max)",1173,"Beveled Mirror, Etched Ribbed Glass (75 watt max)",-144,66,78,"Beveled Mirror, Etched Ribbed Glass (75 watt max)"
